"","mds","duchon","soap","tprs"
"81",46.3607066059395,50.7496184401072,42.9222373771501,93.3041694400835
"82",40.632816865075,39.5902305131707,37.3240450202199,91.0641969356145
"83",44.6974186411789,44.8797086275457,34.0359658924779,92.39380662642
"84",55.524064883576,59.0836090334621,44.9420426276058,92.103351274335
"85",49.2448472178695,51.7244716802115,39.8739380921151,92.1080424017593
"86",51.3036426972793,66.5822753969286,46.803984719233,90.8431785933355
"87",45.5456790725968,45.4255812544916,32.0728143154837,93.2903882745372
"88",45.579498505225,56.5194682426085,37.9691650236468,92.3527650337793
"89",38.6200889048183,36.5750705144272,32.096149299862,89.839579352711
"90",44.5035946795504,52.7811967495696,34.3272948488285,96.0470010474293
"91",45.9612143835685,52.7855515998794,41.0917984918791,91.168741196712
"92",47.0492034002754,52.5758690301168,40.7708502204209,93.3539396043942
