"","mapped"
"306",0.00431584392504748
"307",0.00330533655758294
"308",0.00537403530538528
"309",0.0044436514933152
"310",0.00349229930684054
"311",0.00495419009212989
"312",0.00285759934119906
"313",0.00351452377873572
"314",0.00368154308035471
"315",0.00466438656338748
"316",0.0080247063172105
"317",0.00270966209283231
"318",0.00583191641554208
"319",0.00393651603406974
"320",0.00432582737064506
"321",0.00299933159244843
"322",0.00385315840130768
"323",0.00281859773420773
"324",0.00492558294888868
"325",0.00308057295371226
"326",0.00446491618295941
"327",0.00434377150541689
"328",0.0058929788983822
"329",0.00462254481244691
"330",0.00281266692587477
"331",0.00387829544853743
"332",0.00338276593545474
"333",0.00494328390836607
"334",0.00457045160041916
"335",0.00376267555981162
"336",0.00517312105016731
"337",0.00359541449498356
"338",0.00288989465285917
"339",0.00286668652470522
"340",0.00677580163932669
"341",0.00364753811335947
"342",0.00560074941877148
"343",0.00346930118238664
"344",0.00348375310064189
"345",0.00359049270363002
"346",0.00502377091293127
"347",0.00335247259474204
"348",0.0055169214601519
"349",0.00420604885886767
"350",0.00489966060831979
"351",0.00272454359807683
"352",0.00304412031893008
"353",0.00615147250369208
"354",0.00342947108128569
"355",0.00396534047529604
"356",0.00325333235204282
"357",0.00390859210186367
"358",0.00304814164663855
"359",0.0034936198102154
"360",0.00482536497844219
"361",0.00287080711982895
"362",0.00466063654968199
"363",0.00463203148916236
"364",0.00421189919106824
"365",0.00420542094509279
"366",0.00391699243820159
"367",0.00303481968790081
"368",0.00490214343647284
"369",0.00336170530650632
"370",0.00307043960899704
"371",0.00411245481910464
"372",0.00506863673554276
"373",0.00487169376701349
"374",0.00396581361837590
"375",0.00299024837832748
"376",0.00364498618486971
"377",0.00535623239722631
"378",0.00385557600230917
"379",0.00314351182172426
"380",0.00271294001646716
"381",0.00361362074580109
"382",0.00484512359898582
"383",0.00338996358205712
"384",0.00274090633537595
"385",0.00357978633646401
"386",0.00421708037236181
"387",0.00387557657494526
"388",0.00279377931004842
"389",0.00572649634169559
"390",0.00361654356064536
"391",0.00546611221856843
"392",0.00372258254292552
"393",0.00579715870621605
"394",0.00528293137905972
"395",0.00236936191452242
"396",0.00556463202095774
"397",0.00270431277215772
"398",0.00532958283919614
"399",0.00458986673285827
"400",0.00490774210249633
"401",0.00388186191060338
"402",0.00408274622446191
"403",0.00316566767415146
"404",0.00402103122447138
"405",0.00455728513332539
"406",0.00488684084818846
"407",0.00544056067823161
"408",0.00326592101908498
"409",0.00402441493050668
"410",0.00346677572935921
"411",0.00338628469613268
"412",0.00461594702775547
"413",0.00247036950468004
"414",0.00431595399464359
"415",0.00345037495048616
"416",0.00539814013135435
