"","x"
"335",0.000661475813200158
"336",0.00227347551739316
"337",0.00270686474840715
"338",0.00154863129681698
"339",0.00178946242412529
"340",0.00157393668634520
"341",0.00161171483163928
"342",0.00100207349032559
"343",0.00129424937298388
"344",0.00153891067121808
"345",0.00111001146899278
"346",0.00233900877071024
"347",0.00187265445095636
"348",0.00176237977203392
"349",0.00220304977966851
"350",0.00227443756149071
"351",0.00140986559410384
"352",0.00182938827260826
"353",0.00238128027180102
"354",0.00142009430881262
"355",0.00134130431811491
"356",0.00158156976049949
"357",0.00218098859450395
"358",0.00165779267107847
"359",0.00237145475345173
"360",0.00122335120337910
"361",0.00119541251324182
"362",0.00204289165757038
"363",0.00184471237805106
"364",0.00112856465947175
"365",0.00192660341116374
"366",0.00144292502404033
"367",0.00155329397510292
"368",0.00164614938922037
"369",0.00165846402732104
"370",0.00140761669654062
"371",0.00319200447701337
"372",0.00213854796073923
"373",0.00221819330401049
"374",0.00201772379210599
"375",0.00188328849235525
"376",0.00176597408767211
"377",0.00249369551724988
"378",0.00134717078010295
"379",0.00102864431619685
"380",0.00141172325636353
"381",0.00212666950103088
"382",0.00252292480757683
"383",0.00167209591907150
"384",0.000702736327762862
"385",0.00193897766154858
"386",0.00137895197532932
"387",0.00169690399006128
"388",0.00102725478992056
"389",0.00175748331144709
"390",0.00207854976232534
"391",0.00196691717840156
"392",0.00126772439608317
"393",0.00181488198039968
"394",0.00197553828833345
"395",0.000968004012130175
"396",0.00214506556489578
"397",0.00138185401619446
"398",0.00235901781982854
"399",0.00253477860519007
"400",0.00296789642611731
"401",0.00206237910457995
"402",0.00190614498332253
"403",0.00194583967846793
"404",0.00224989332451852
"405",0.000980729621445461
"406",0.00254303893639157
"407",0.00240044653609807
"408",0.00134217149426908
"409",0.00218658948849121
"410",0.00252622266723941
"411",0.00185071842606256
"412",0.00186597367344946
"413",0.00136137952758089
"414",0.00181644004287031
"415",0.00240267007631277
"416",0.00252298347452775
"417",0.000782442470446471
"418",0.00140548102617791
"419",0.00205542197178313
"420",0.000432104660283518
"421",0.00170556683968688
"422",0.00121759948311465
