"","mds","mdstp","soap","tprs","mdsmod"
"77",69.6124242943561,0,36.2863510612852,66.2040562640877,65.4207123854926
"78",73.270043996237,0,46.7635017573738,64.7945259376567,66.5864315271246
"79",71.3313743985298,0,46.7167047205947,66.6496765910427,73.3619173784971
"80",53.2351193656826,0,42.59085248266,69.6270032575961,60.5648250967346
"81",64.4746217901978,0,36.2236461452852,64.5643448560917,63.3374424107597
"82",69.0496527781073,0,49.0195137087882,77.3427791873276,67.3660480923918
"83",61.0057460015153,0,48.5145326030743,58.1271149644059,62.0799498718745
"84",74.6278408446976,0,52.1429231466127,83.7709156303548,76.8548545474703
"85",70.0181769071057,0,51.0291991004776,74.2590461546022,65.7487989773919
"86",66.4785708078726,0,47.6113049016721,66.410198747447,66.441384790687
"87",54.2231187648684,0,37.3462410831404,69.9165665226647,68.9910303067499
"88",75.1013500896057,0,45.2133143508588,74.792156708119,69.5718493025145
"89",86.9216986577422,0,40.6443020774105,69.4738051416759,83.5397399895454
"90",68.7119918906293,0,57.1276755143133,69.611705233529,65.5142568808868
"91",52.5291863610365,0,32.9593098876911,58.0671116878773,56.1440771428796
"92",72.2055225509468,0,40.8561062898634,62.3047427001429,79.4223986928227
"93",43.2109126547318,0,39.8876926652662,57.8973927916371,60.5716780836912
"94",52.519485319606,0,37.0776975561499,61.2267461819841,66.4940754692178
"95",63.7017120490479,0,48.890148496853,61.3001789958417,65.6444376529562
"96",54.2099734834522,0,47.446595374283,63.2949693047951,61.5232422111749
"97",75.6233199221104,0,55.2975754165892,64.6589123843461,81.156300553893
"98",45.8426509245613,0,35.3325111322137,55.349014801089,51.3515960827922
"99",67.9810064906274,0,42.8739559645387,64.7507466220428,67.9009290350438
"100",69.9993374145622,0,49.4281115394565,75.1126264075133,76.8146086203873
