"","mds","soap","tprs"
"105",43.9300269662958,35.9878537900518,93.2949323280051
"106",45.4817426147746,45.5476005501794,93.7183148334809
"107",46.2315351893245,37.7066515597747,92.8810905250574
"108",45.3367415051777,32.7931361024144,92.1842808331129
"109",37.9886797716808,38.7899669452755,90.9960688992125
"110",51.2616744300275,49.0197918074085,92.0493847092348
"111",42.9539707538721,36.4862373877091,91.6563648977771
"112",45.7133339109553,37.2176712009748,91.5680450729031
"113",49.6091519961709,38.9625419978557,90.142117352007
"114",46.6100589194109,35.5739336356252,90.8202796549268
"115",46.6655235513952,40.6138752736674,95.3001861925695
"116",50.6845571027449,41.1873392894281,90.8145569621702
"117",42.7918105169212,36.5993987938720,91.6924575340298
"118",51.6173625701461,40.3596099191269,92.0045756975585
"119",45.3086116295835,41.2494851690419,91.8458354602711
